Column1,287C-Caecum_IgA,290B-Transverse_IgG,290B-Sigmoid_IgA,290B-Sigmoid_IgG,296B-Caecum_IgA,296C-Caecum_IgG,296C-Transverse_IgA,296C-Transverse_IgG,296C-Sigmoid_IgA,296C-Sigmoid_IgG,298C-Caecum_IgA,287C-Caecum_IgG,298C-Caecum_IgG,298C-Transverse_IgA,298C-Transverse_IgG,298C-Sigmoid_IgA,298C-Sigmoid_IgG,302C-Caecum_IgA,302C-Caecum_IgG,302C-Transverse_IgA,302C-Transverse_IgG,302C-Sigmoid_IgA,287C-Transverse_IgA,302C-Sigmoid_IgG,312C-Caecum_IgA,312C-Caecum_IgG,312C-Transverse_IgA,312C-Transverse_IgG,312C-Sigmoid_IgA,312C-Sigmoid_IgG,D8-fecal_IgA,D8-fecal_IgG,D8-fecal_IgG2,287C-Transverse_IgG,287C-Sigmoid_IgA,287C-Sigmoid_IgG,290B-Caecum_IgA,290B-Caecum_IgG,290B-Transverse_IgA
Sphingopyxis baekryungensis,11,1030,459,2143,134,178,211,67,231,251,72,0,29,3755,1324,40,39,31,31,1128,1734,53,51,60,121,83,116,89,82,1057,36,141,3,29,86,1028,47,73,988
Acinetobacter ursingii,10,736,384,996,224,89,139,19,214,157,55,0,22,643,1444,16,7,81,8,1567,259,38,14,57,72,146,3,5,7,380,47,383,1,19,227,7522,37,58,875
Serratia odorifera,32,838,312,643,195,77,269,72,197,179,78,0,50,713,629,82,51,81,95,667,289,136,110,176,746,733,1722,1477,2757,1261,66,154,3,71,125,472,55,44,1057
Neisseria subflava,13,225,110,229,251,23,74,13,192,165,36,0,35,11655,377,19,19,27,26,861,81,44,9,67,131,575,42,23,21,121,76,68,0,10,208,211,26,213,334
Azoarcus toluclasticus,33,766,406,1579,172,145,311,117,507,186,98,0,65,1291,895,82,85,44,60,852,3383,143,115,125,357,336,369,334,346,621,106,170,0,78,227,741,55,63,784
Riemerella columbina,6,1877,1570,1651,115,65,141,20,778,267,84,0,82,455,785,63,9,103,106,721,2262,254,12,284,299,251,111,29,82,239,41,170,2,16,460,481,61,75,1919
Caldimonas hydrothermale,13,790,387,976,148,97,173,79,1044,236,75,0,55,579,1281,79,56,33,23,1454,4728,93,79,93,216,151,227,136,219,407,97,118,0,106,82,595,36,49,901
Bacteroides nordii,269,196,440,110,957,459,1760,481,308,103,423,0,374,173,242,726,547,672,737,158,207,690,375,729,553,532,605,418,218,120,388,165,230,258,63,62,366,206,324
Lactobacillus helveticus,100,52,80,56,8,6150,5,9,9,28,30,0,24,58,8069,22,32,23,22,51,21,6,33,49,8,10,7,7,2,37,6,13,0,54,16,19,151,275,80
Microbacterium gubbeenense,7,424,510,660,36,25,44,17,856,198,31,0,33,205,345,30,28,16,11,2121,8354,54,7,73,110,51,50,47,35,197,33,74,0,24,122,209,23,20,500
Alistipes indistinctus,88,308,172,215,328,189,307,243,121,58,571,0,695,179,303,1781,2484,236,225,50,124,184,470,199,847,672,933,704,806,861,56,46,0,343,139,140,16,14,276
Turicibacter sanguinis,30,600,429,506,92,94,140,63,169,136,223,0,214,657,571,175,135,1211,3391,480,227,152,41,538,553,626,555,434,56,144,457,139,574,63,212,402,62,56,586
Gordonia bronchialis,19,510,1068,469,121,78,133,63,1387,1248,41,0,32,804,742,40,31,24,41,1003,1572,87,17,104,84,68,39,31,21,464,59,203,0,24,126,1297,21,76,2940
Bifidobacterium animalis,21,98,299,198,54,140,46,143,274,54,494,0,535,90,335,1155,856,15,22,507,2022,41,29,58,138,145,183,180,383,300,88,60,1,37,25,94,4254,1312,157
Enterococcus casseliflavus,353,250,146,160,33,23,39,5,59,34,2493,0,3873,1439,210,1600,1243,11,4,213,436,14,531,3,24,50,18,11,4,115,3,49,253,345,53,141,32,37,212
Nocardioides halotolerans,37,869,431,1310,142,110,114,104,447,171,40,0,32,813,976,47,49,18,16,2124,2737,57,41,90,270,226,175,167,73,451,49,129,1,87,125,569,39,137,1204
Actinomyces dentalis,16,323,419,462,96,218,120,274,852,224,62,0,61,262,406,77,80,30,108,3685,3724,100,31,120,147,126,102,78,34,220,55,61,0,64,40,197,32,122,1415
Prevotella disiens,1,68,49,51,45,20,22,15,42,47,35,0,38,160,34,16,12,802,1100,7252,62,1835,8,2102,52,88,89,58,18,26,13,23,1,5,3,30,7,25,95
Sediminimonas qiaohouensis,33,508,301,1724,87,86,107,73,150,120,49,0,32,1125,1684,58,44,30,25,2541,884,78,66,69,270,147,167,125,139,406,48,109,0,52,146,1964,25,27,799
Pasteurella testudinis,18,1474,1170,1363,134,98,163,29,592,271,107,0,125,628,1130,75,51,153,136,699,233,386,42,356,258,226,182,100,137,873,50,180,4,54,653,497,45,48,1544
Ornithobacterium rhinotracheale,4,1547,1096,1231,154,92,154,21,739,302,95,0,86,673,1015,43,17,163,134,715,779,327,11,419,391,288,98,58,95,313,23,182,1,25,567,549,52,55,1697
Microbacterium luticocti,7,532,472,828,38,34,82,51,674,202,29,0,15,367,477,27,31,19,13,1721,6579,76,15,96,179,33,51,45,14,195,99,90,1,26,96,200,21,48,691
Gryllotalpicola ginsengisoli,13,949,751,429,50,168,104,221,659,238,50,0,46,299,450,56,56,19,17,1825,5735,108,16,100,71,42,38,41,46,210,31,83,0,11,114,253,21,34,643
Thermus scotoductus,16,1851,826,959,92,53,96,30,78,70,28,0,13,802,964,27,15,45,9,5003,385,28,30,36,45,23,15,10,9,243,55,251,0,38,11,228,18,64,1485
Acidocella facilis,31,787,365,2780,117,107,183,75,152,128,100,0,92,1865,900,103,67,55,45,819,598,187,107,138,271,259,268,250,252,604,86,150,0,97,192,691,32,58,812
Pseudogulbenkiania ferrooxidans,48,728,369,1394,242,193,414,201,361,240,135,0,81,1255,1011,136,107,62,57,649,1300,155,165,140,270,242,353,249,234,455,115,200,0,161,316,702,55,55,713
Corynebacterium tuberculostearicum,11,876,299,987,271,60,130,17,1975,756,74,0,62,539,633,34,23,24,1,2755,338,77,6,60,127,299,28,11,7,760,62,134,0,22,222,253,24,58,1393
Lautropia mirabilis,17,544,195,1028,89,129,135,88,264,127,88,0,58,807,722,72,73,43,36,742,1241,85,62,110,155,167,143,127,214,434,96,125,1,48,105,1400,34,36,3546
Bacteroides pyogenes,16,30,28,19,112,82,166,52,53,31,99,0,76,24,29,161,143,3469,3223,51,183,1256,33,1227,399,534,882,512,113,129,60,29,0,25,22,21,31,14,35
Staphylococcus saprophyticus,38,838,1041,859,190,90,116,51,206,152,86,0,20,641,806,15,19,131,80,1525,297,76,48,170,71,37,15,9,5,547,27,363,2,98,61,1460,133,148,2734
Butyrivibrio crossotus,172,42,231,61,86,114,119,168,20,9,445,0,470,115,104,467,432,297,464,25,7,1326,561,1160,277,763,506,719,323,255,884,235,1,782,33,95,900,421,95
Acinetobacter tjernbergiae,12,1884,1020,1317,95,122,142,9,180,147,55,0,16,1369,1580,22,22,59,8,1408,232,42,17,63,72,25,9,9,3,248,23,273,0,43,66,743,48,67,1732
Prevotella oulorum,2,1087,985,875,142,73,188,37,562,247,90,0,88,527,611,61,20,287,393,312,140,837,10,910,499,360,367,186,193,381,37,174,1,10,487,514,50,23,1313
Actinomyces oris,140,382,345,726,92,449,258,161,271,178,45,0,56,995,978,58,46,48,88,1634,1698,117,75,226,180,192,139,92,80,310,224,92,14,189,109,210,104,997,975
Rikenella microfusus,54,127,37,202,122,68,153,71,94,37,45,0,41,77,33,129,72,132,183,112,144,258,145,243,1529,1907,2888,1985,977,682,62,45,0,104,14,39,13,12,39
Slackia exigua,18,70,210,368,186,1597,184,1475,281,104,328,0,654,106,201,841,1067,85,190,156,209,514,45,565,536,562,554,449,395,287,207,104,0,44,5,32,29,41,97
Agrococcus lahaulensis,24,601,508,494,65,199,137,290,654,226,28,0,34,229,376,32,32,11,7,1537,5317,45,26,56,118,46,36,34,15,250,52,95,23,33,96,263,26,25,695
Sutterella parvirubra,3,80,115,205,11,26,11,22,55,28,1037,0,633,568,703,1112,1215,87,150,129,374,63,6,46,1346,1273,1207,768,523,395,24,21,1,10,12,77,73,47,266
Paraprevotella xylaniphila,20,267,279,171,236,206,328,239,376,360,154,0,127,67,123,260,199,1506,1654,53,58,535,38,759,617,766,764,585,372,298,424,172,0,31,21,51,59,42,143
Brachybacterium faecium,6,591,577,539,98,128,166,168,393,148,36,0,32,532,386,49,35,54,25,2478,2850,84,20,95,173,131,158,143,216,414,76,119,0,21,69,284,35,51,826
Oceanicaulis alexandrii,27,839,198,3988,85,109,124,70,118,111,73,0,36,1603,696,62,36,42,45,524,503,152,73,108,80,78,77,50,26,458,70,103,1,72,172,486,50,57,787
Rhodovibrio salinarum,13,741,306,2708,78,98,122,65,165,120,58,0,48,1443,721,49,61,34,22,614,860,67,50,51,321,242,315,246,307,395,66,128,0,55,130,596,52,49,788
Solimonas soli,25,758,319,1775,113,100,174,49,225,156,70,0,39,1210,1312,66,57,77,82,689,1355,145,64,105,215,112,184,123,123,546,61,160,1,56,165,644,37,43,724
Nocardioides alkalitolerans,14,602,400,493,96,128,121,145,381,187,43,0,61,749,852,59,78,22,11,1805,2370,78,18,103,241,147,194,110,185,421,55,127,2,31,142,470,27,84,1050
Azovibrio restrictus,25,393,229,1057,110,112,179,102,232,126,101,0,111,637,623,116,114,31,34,462,1119,127,95,87,444,378,527,393,485,435,106,99,0,65,146,1885,41,32,665
Acidiphilium angustum,15,1054,503,2021,138,82,215,69,209,90,69,0,47,1385,715,95,37,40,34,668,566,108,88,84,273,210,203,155,175,480,56,112,2,70,212,548,35,71,910
Propionicicella superfundia,9,204,522,461,31,87,57,126,532,149,21,0,23,235,243,60,48,12,12,2247,5310,83,26,93,60,66,48,61,26,154,9,50,0,31,65,170,18,27,268
Dysgonomonas capnocytophagoides,4,1381,1002,1096,168,76,172,41,615,245,85,0,85,452,782,184,97,109,137,294,310,343,9,335,271,191,111,39,67,196,20,98,0,12,571,450,51,51,1449
Prevotella multiformis,11,30,18,14,36,24,62,35,21,16,182,0,142,195,87,202,171,1238,1546,120,37,2493,25,2804,296,238,521,280,275,139,47,12,0,22,29,17,2,7,24
Streptococcus anginosus,67,366,234,624,163,127,81,85,118,134,60,0,59,488,488,66,64,108,203,703,498,180,37,343,198,249,115,88,113,428,105,112,9,65,84,192,1708,1810,783
Lactobacillus ruminis,1553,52,79,49,18,20,15,16,14,5,20,0,40,12,26,30,21,97,66,23,40,77,5248,75,38,42,22,29,110,74,88,17,354,2653,6,16,167,40,85
Slackia heliotrinireducens,26,66,183,61,195,1387,219,1451,219,145,321,0,700,91,236,740,956,155,263,63,122,472,101,502,374,382,342,324,197,191,276,119,0,141,5,35,56,63,132
Agromyces subbeticus,15,717,504,742,55,58,100,74,458,166,45,0,17,293,407,53,55,34,27,1306,4081,118,25,117,223,109,70,68,89,270,47,82,0,18,67,262,20,23,489
Bifidobacterium subtile,38,139,317,358,235,286,164,306,430,96,544,0,486,357,414,1370,921,26,26,773,2697,94,151,93,57,96,61,87,45,123,36,44,0,102,93,44,30,21,58
Chryseobacterium caeni,4,469,335,368,78,24,56,14,663,214,6,0,18,258,333,5,7,9,6,953,3075,24,9,28,53,45,10,22,0,225,22,155,2,18,196,2301,25,10,1151
Providencia alcalifaciens,6,333,225,259,24,21,30,12,97,60,24,0,28,102,105,14,10,18,19,95,61,40,4,37,1031,1338,1541,1330,1622,1655,11,42,394,3,65,68,20,13,401
Actinomyces viscosus,42,281,93,314,65,233,59,155,117,126,16,0,11,263,523,9,3,1,31,333,385,9,64,60,47,60,59,14,5,173,92,39,0,361,27,147,248,6133,494
Yoonia vestfoldensis,18,436,263,986,71,77,102,47,115,88,53,0,35,830,1436,42,19,75,52,2257,645,84,56,87,96,64,42,38,30,239,45,74,1,73,140,1547,28,33,673
Rudaea cellulosilytica,32,449,288,786,122,108,180,107,309,115,47,0,47,849,1391,72,41,92,63,599,2497,167,80,126,124,168,169,125,79,297,63,76,0,68,188,523,30,40,366
[Hallella] seregens,11,55,16,28,22,15,27,23,38,11,243,0,226,124,226,465,467,562,1094,59,122,2617,34,3050,166,197,372,193,116,121,17,15,1,34,1,17,14,13,39
Thermus islandicus,3,339,264,310,19,54,21,56,65,18,28,0,34,219,502,36,27,15,8,6636,304,11,9,21,202,168,264,209,286,202,53,53,0,12,9,99,15,10,249
Rothia dentocariosa,51,567,405,545,210,132,202,73,179,239,91,0,107,1004,1048,49,63,65,142,632,850,251,147,249,134,244,82,88,9,644,185,218,2,108,49,308,70,229,1148
Corynebacterium riegelii,10,551,427,742,727,71,179,26,91,457,48,0,42,537,1067,26,44,44,6,1901,370,37,13,24,162,267,22,26,14,251,136,131,0,10,216,512,22,89,1440
Geodermatophilus obscurus,25,728,360,801,84,89,85,42,252,133,56,0,79,505,764,41,45,20,11,1482,1971,40,14,70,260,109,159,113,158,401,43,94,2,30,88,457,30,230,858
Arenimonas oryziterrae,21,331,278,780,120,76,165,140,244,111,64,0,35,602,2757,63,51,33,15,492,1863,108,80,71,109,58,84,48,35,280,101,114,0,84,105,685,15,30,409
Agromyces italicus,8,577,511,554,52,117,100,132,475,168,42,0,32,334,437,41,58,16,18,1264,3982,94,7,94,106,62,42,31,30,231,39,83,0,24,74,260,28,30,490
Lachnoanaerobaculum saburreum,2,261,308,266,62,28,66,66,110,53,132,0,167,556,131,110,81,154,150,107,29,273,12,288,140,203,176,149,470,199,197,89,0,15,123,97,2566,1681,1080
Cloacibacillus evryensis,10,143,141,265,30,77,27,112,19,22,49,0,45,74,75,69,76,12,31,43,119,192,72,156,1234,1494,2007,2003,1014,562,124,62,0,78,3,20,44,35,50
Streptococcus pseudopneumoniae,7,494,562,1477,33,67,174,44,46,91,39,0,28,356,532,25,31,33,44,570,263,44,9,76,77,84,28,25,4,945,32,126,7,16,61,158,2121,1389,467
Bifidobacterium choerinum,27,114,203,92,83,285,74,286,189,35,661,0,720,171,399,1905,1341,22,36,340,1121,203,181,140,189,179,224,175,163,123,147,75,338,127,24,37,23,26,67
Actinomyces urogenitalis,12,105,342,156,26,88,53,131,302,88,23,0,51,107,103,58,62,4,5,3472,3567,18,46,41,179,175,213,178,191,187,63,47,0,41,35,49,32,51,161
Arsenicicoccus bolidensis,42,439,372,577,87,90,98,128,479,120,44,0,48,344,340,38,40,62,26,1633,3445,63,17,70,96,81,51,45,18,209,51,79,1,21,110,342,44,70,567
Actinomyces massiliensis,13,267,206,412,82,67,45,26,295,150,38,0,34,1182,327,37,65,8,25,1608,1925,46,42,54,204,217,203,187,193,281,60,71,0,79,26,388,29,59,1427
Johnsonella ignava,54,40,138,52,63,151,74,200,11,17,418,0,554,36,111,296,315,427,476,33,10,514,102,560,154,230,146,210,365,326,596,169,0,120,3,30,2310,997,54
Prevotella bergensis,5,23,39,11,25,19,65,18,30,23,19,0,9,20,28,29,15,960,1541,134,92,2755,25,3417,114,139,322,153,81,62,30,25,0,50,3,10,2,4,14
Rhodococcus erythropolis,29,429,265,322,83,66,82,26,151,95,65,0,50,312,238,96,42,10,18,498,977,90,28,66,115,70,30,34,13,188,35,35,214,25,79,175,15,33,5174
Thermithiobacillus tepidarius,19,449,190,1765,98,69,116,75,285,162,64,0,64,608,594,111,101,37,22,492,1723,78,107,87,264,216,249,186,271,380,67,77,0,120,106,396,19,12,363
Cellulomonas flavigena,12,314,442,246,37,68,65,59,398,118,41,0,41,265,308,62,65,31,22,1493,3654,50,16,79,275,177,160,121,165,278,75,91,2,21,52,194,22,26,484
Corynebacterium tuscaniense,8,896,413,465,375,69,100,20,134,293,69,0,29,400,846,18,22,32,23,1215,521,38,46,40,177,373,52,56,97,402,163,133,276,44,162,616,26,111,1190
Kribbella flavida,21,549,346,512,83,65,107,68,279,124,35,0,42,413,542,59,51,16,16,1284,2315,61,29,64,96,61,38,30,15,226,34,75,940,40,107,427,28,45,678
Prevotella baroniae,6,53,40,17,9,20,5,22,55,31,27,0,20,14,31,21,28,879,1383,46,71,2417,30,2763,267,294,611,296,168,118,67,26,0,17,7,8,4,6,28
Leucobacter chironomi,30,320,354,354,37,43,88,34,468,84,61,0,100,216,251,63,88,15,7,1194,3802,19,130,53,193,109,166,118,176,235,62,60,0,112,101,207,23,23,482
Gemella haemolysans,8,198,107,634,102,18,54,20,98,143,50,0,61,169,244,54,41,102,120,285,48,125,14,216,146,291,143,71,55,523,118,65,500,19,22,117,1380,2733,680
Actinomyces gerencseriae,8,167,185,217,81,201,63,190,290,109,26,0,25,144,107,40,28,25,69,1936,1961,55,24,81,63,149,67,63,78,121,17,36,1,73,15,172,27,230,2593
Prevotella denticola,15,59,25,25,50,23,69,27,54,36,29,0,36,945,48,52,47,767,1174,149,150,2148,27,2538,116,143,392,201,74,82,20,7,0,24,4,18,1,15,82
Neisseria flavescens,4,824,652,728,200,66,89,20,313,165,82,0,61,2276,418,37,35,55,48,527,91,138,6,159,200,204,99,39,73,159,16,81,0,11,332,329,41,141,925
Xylanimonas cellulosilytica,10,328,315,293,40,97,73,139,415,115,35,0,48,158,312,85,68,15,4,1386,3622,24,28,33,230,199,211,192,136,151,43,52,2,24,54,152,9,19,500
Bacillus circulans,10,323,264,265,59,28,62,15,601,127,87,0,67,360,450,55,43,197,142,930,2091,143,11,384,124,111,37,35,39,174,11,98,1507,33,166,179,13,36,317
Mycoplasma hyorhinis,2,460,401,406,144,83,155,25,768,303,117,0,123,540,650,76,27,169,210,260,49,382,5,395,456,408,137,52,145,284,8,208,0,9,813,616,40,18,638
Bacillus simplex,6,166,183,1168,39,30,42,12,266,72,20,0,21,385,228,21,22,28,12,1006,3392,15,9,21,12,8,5,6,5,65,11,71,1460,8,17,405,54,24,222
Prevotella nigrescens,7,20,36,17,32,9,27,11,177,72,352,0,258,464,236,580,549,1771,1835,75,38,1211,5,1192,41,34,69,42,17,46,8,16,0,4,4,30,12,13,195
Beutenbergia cavernae,2,316,357,427,38,37,72,54,453,107,32,0,33,222,356,54,48,13,14,1408,4035,61,14,78,71,67,52,41,52,162,43,61,1,10,80,161,18,29,426
Aminiphilus circumscriptus,5,1239,980,1068,110,59,93,14,386,185,103,0,107,329,441,63,35,80,96,193,151,231,19,250,234,226,136,76,59,224,56,114,0,47,447,372,63,46,1156
Streptomyces scopiformis,13,367,382,232,73,122,91,150,268,101,35,0,27,340,365,51,45,19,29,1294,1572,108,41,82,450,301,449,362,452,398,73,100,289,42,74,187,27,32,396
Sanguibacter keddieii,6,373,340,405,62,129,61,165,377,100,75,0,58,448,365,143,127,17,21,1341,3146,58,10,53,204,127,121,70,18,181,26,57,1,29,57,227,13,16,403
Prevotella pallens,0,29,18,12,37,5,10,2,48,54,133,0,142,4510,31,148,107,832,829,47,75,757,1,848,31,39,24,22,5,12,322,122,0,5,0,9,7,3,61
Nevskia ramosa,23,565,316,990,149,107,253,91,189,126,65,0,67,1093,910,75,63,49,61,400,868,234,87,196,141,107,110,69,30,339,80,131,0,67,176,507,22,35,495
Corynebacterium xerosis,8,385,275,812,118,108,77,135,259,109,43,0,44,578,505,76,58,24,28,1380,1774,115,27,131,120,114,56,63,101,303,52,95,2,29,225,232,34,78,711
Mycobacterium parascrofulaceum,12,460,291,998,119,185,329,142,277,206,58,0,52,383,690,50,48,41,12,1140,1592,59,36,99,112,105,62,52,32,265,63,182,0,49,56,294,29,43,643
Thermus igniterrae,6,396,163,212,14,21,25,11,44,21,17,0,22,199,381,45,44,15,4,5915,264,12,27,15,169,133,196,181,127,110,42,65,0,29,9,81,8,19,201
Ruania albidiflava,14,216,372,184,104,110,75,136,422,100,19,0,21,148,176,57,42,16,38,1389,3770,112,74,148,133,110,80,57,67,195,93,74,1,70,30,184,35,36,262
Streptomyces vitaminophilus,3,202,213,695,42,89,46,98,193,95,39,0,36,196,241,53,58,9,9,760,1722,34,8,36,632,466,739,543,786,484,67,67,1,15,53,146,11,9,269
Ornithinimicrobium pekingense,10,545,256,464,73,68,80,71,333,143,24,0,50,369,623,42,45,20,13,1460,2662,51,23,67,132,81,66,53,37,210,72,113,0,46,72,289,29,36,429
Streptococcus pyogenes,8,1052,788,976,87,57,122,13,386,177,102,0,78,456,422,58,24,91,98,116,94,215,10,233,261,218,80,22,77,175,11,113,238,34,397,305,144,199,1139
Simplicispira psychrophila,11,556,339,341,92,85,149,39,341,151,48,0,37,757,785,26,24,34,27,605,1787,138,27,105,117,88,124,91,134,385,42,139,0,26,70,452,32,37,808
Pyramidobacter piscolens,15,115,266,286,43,117,37,123,61,29,105,0,166,144,133,143,190,57,87,83,185,392,82,367,865,770,887,738,766,421,340,177,343,105,41,60,64,61,131
Bifidobacterium minimum,75,40,76,58,895,632,388,454,120,31,410,0,423,192,218,859,590,545,427,205,810,139,308,249,54,53,67,48,6,62,30,35,0,231,13,26,60,117,37
Actinokineospora inagensis,20,295,336,673,103,147,127,144,326,135,49,0,40,513,535,44,35,51,36,843,1685,77,33,87,245,181,214,133,189,330,88,126,3,34,201,299,23,48,456
Hafnia alvei,19,413,168,232,36,35,32,13,78,125,21,0,16,160,228,12,5,32,31,171,47,48,20,31,333,426,1201,1109,2094,798,7,59,186,20,66,111,35,22,381
Alloprevotella tannerae,16,57,25,31,57,24,39,15,333,187,41,0,28,76,69,79,66,2184,1924,72,57,821,12,810,248,240,318,273,224,178,102,55,1,6,9,20,18,17,66
Aestuariimicrobium kwangyangense,9,138,156,429,41,62,25,68,236,87,46,0,63,231,232,55,56,29,26,972,1941,29,15,62,476,413,612,500,540,372,64,56,3,25,43,147,13,32,276
Nisaea denitrificans,35,476,218,1479,94,62,171,89,132,78,81,0,53,888,653,88,53,46,39,494,450,106,131,93,174,174,185,142,167,298,67,88,0,110,164,485,33,31,445
Parvimonas micra,4,46,48,55,21,8,21,3,142,58,20,0,31,152,23,24,19,38,40,19,290,2177,12,2516,96,156,69,72,15,24,27,14,2,1,12,13,550,1588,140
Morganella morganii,18,150,99,415,87,56,62,33,226,183,38,0,28,108,173,40,30,603,506,115,83,503,47,353,224,304,735,609,1126,565,51,47,261,35,72,121,16,16,349
Veillonella dispar,36,86,40,45,26,18,23,3,65,69,149,0,118,4732,115,96,97,244,372,63,67,561,176,481,21,87,35,16,0,34,47,12,1,103,10,47,114,119,142
Acinetobacter calcoaceticus,4,758,252,161,51,401,271,5,123,111,47,0,20,138,1641,30,13,43,37,318,46,56,6,147,99,51,21,15,22,79,2,158,0,4,121,2652,211,15,324
Mycolicibacterium hassiacum,17,481,266,585,91,66,117,28,325,146,25,0,20,348,472,20,29,15,4,1248,2608,37,32,46,75,43,31,36,14,249,43,70,0,51,77,193,14,32,453
Azonexus hydrophilus,32,342,248,545,139,107,225,124,284,129,97,0,78,535,540,108,64,42,42,430,1322,103,90,76,128,131,160,127,123,279,64,79,0,97,176,657,47,38,557
Nakamurella multipartita,7,453,248,997,77,61,83,73,271,96,84,0,64,357,698,59,46,23,27,939,2001,38,25,37,98,74,99,53,38,151,87,70,0,32,63,276,15,26,478
Chryseobacterium tenax,7,270,314,352,37,16,42,6,642,139,15,0,11,169,507,7,11,26,9,716,3090,14,4,65,21,20,11,4,2,118,11,67,0,10,107,805,27,20,624
Dermacoccus nishinomiyaensis,7,323,262,279,70,37,48,16,314,116,41,0,29,342,270,61,53,23,25,810,2624,76,19,67,149,97,69,64,25,178,39,57,0,25,134,974,29,30,528
Staphylococcus warneri,27,502,263,451,146,73,131,14,417,271,35,0,27,489,490,10,10,30,7,858,717,18,73,45,101,161,63,8,0,377,52,202,2,172,108,534,56,29,1267
Thermomonospora curvata,18,307,187,1024,70,114,105,115,264,80,48,0,53,527,375,59,70,29,37,916,1844,53,93,65,118,129,112,110,28,235,74,65,1,85,81,208,14,17,413
Humibacter albus,11,551,320,388,27,41,81,28,354,108,28,0,17,154,221,42,40,15,4,1035,3345,35,65,44,64,52,53,55,10,134,30,57,0,92,68,156,14,10,367
Microvirgula aerodenitrificans,40,311,221,716,179,85,257,102,195,120,108,0,77,631,519,131,86,119,136,385,862,209,128,216,110,78,155,89,91,359,67,104,260,78,183,334,23,29,320
Gordonia terrae,6,335,234,212,97,97,105,70,194,183,40,0,31,458,572,23,21,22,11,730,1209,22,16,37,145,101,136,119,126,311,37,80,0,24,95,372,27,26,1728
Vibrio cincinnatiensis,3,923,661,667,98,68,105,11,351,150,75,0,71,465,612,46,12,93,95,270,58,203,10,244,210,224,128,87,173,232,5,104,0,8,336,347,34,28,828
Kytococcus sedentarius,4,284,279,632,90,107,52,85,262,121,25,0,20,240,303,29,34,24,9,1315,2100,45,7,36,108,92,78,70,30,399,19,66,0,20,47,208,15,26,685
Methylococcus capsulatus,24,263,159,1043,77,73,114,56,185,91,79,0,64,810,460,75,60,35,21,431,1217,54,49,59,192,136,248,150,113,248,38,77,282,38,112,262,31,38,465
Enterorhabdus mucosicola,12,64,87,147,120,722,79,579,78,22,258,0,588,96,142,682,941,131,402,89,58,178,38,253,264,286,268,253,232,186,256,121,0,47,7,32,59,23,126
Fusobacterium periodonticum,9,82,42,54,44,9,5,4,20,12,39,0,40,1678,91,17,26,57,68,76,22,24,9,133,14,66,16,2,0,15,32,16,1,13,8,31,3197,1777,168
Intrasporangium calvum,9,620,279,513,42,30,48,45,345,116,26,0,21,272,408,37,30,11,17,1106,2128,38,10,39,111,60,54,65,15,188,41,74,0,20,86,337,34,43,556
Streptococcus lutetiensis,21,42,67,91,8,25,10,13,438,55,76,0,62,113,164,66,60,49,74,312,4123,51,13,170,8,4,6,3,28,45,30,26,313,10,8,56,456,591,74
Thiobacillus denitrificans,20,277,369,558,87,56,171,61,261,110,62,0,44,564,533,58,52,24,29,477,1806,74,67,87,111,60,64,58,47,310,67,124,0,83,97,405,43,43,386
Conexibacter woesei,13,467,247,357,90,130,92,151,188,89,30,0,27,590,448,42,42,20,27,712,1462,164,21,134,213,206,141,134,38,178,122,135,1,41,62,405,15,31,419
Marinobacterium rhizophilum,43,227,141,438,203,93,332,94,210,90,113,0,64,365,261,102,69,60,51,411,546,172,178,135,322,265,376,308,401,310,133,104,0,139,214,263,36,36,306
Nocardioides insulae,13,392,244,402,56,30,68,25,272,73,20,0,21,516,518,27,26,18,18,1141,1934,24,36,65,72,43,30,32,7,206,30,74,0,45,92,323,30,66,599
Camelus dromedarius,5,165,130,148,50,33,70,16,1614,1649,54,0,31,227,283,22,12,58,58,180,69,115,11,132,244,360,231,212,212,292,10,59,25,17,236,188,21,31,272
Thermus oshimai,2,284,155,149,14,66,22,69,47,16,20,0,44,102,386,41,53,11,2,4632,201,10,8,18,164,103,162,112,123,77,39,61,0,12,2,73,9,12,168
Prevotella timonensis,5,115,53,62,90,32,58,37,66,96,21,0,20,171,248,94,52,907,1039,311,40,1176,39,1352,141,205,207,102,69,90,44,23,0,37,13,81,14,21,334
Brevibacterium luteolum,13,248,160,375,62,47,73,32,216,73,37,0,21,256,234,44,40,13,6,842,1432,32,9,33,275,172,252,204,306,330,46,113,0,19,49,397,16,38,937
Andreprevotia chitinilytica,44,230,170,463,247,167,308,210,189,133,113,0,68,394,437,107,70,72,67,264,393,222,190,160,236,218,260,193,202,244,99,81,0,127,272,377,37,27,287
Acidipropionibacterium thoenii,1,138,232,148,37,35,20,45,373,87,19,0,43,197,218,25,31,6,2,1504,2906,17,15,36,75,106,80,83,46,124,29,58,0,12,37,93,13,26,460
Geothrix fermentans,4,157,69,178,37,115,61,149,103,44,43,0,104,234,224,107,136,19,18,257,588,75,42,95,674,539,751,588,777,492,170,75,0,60,18,114,21,16,137
Perlucidibaca piscinae,21,364,188,312,158,122,218,99,172,149,88,0,56,503,555,98,89,35,34,372,712,102,129,95,259,195,311,189,213,237,71,79,1,106,182,392,29,29,325
Propionibacterium acidifaciens,20,205,208,159,35,182,41,221,281,84,29,0,32,91,193,73,83,454,150,1129,2072,183,14,252,145,98,118,77,46,96,68,39,1,35,38,106,10,14,203
